message,label
winner winner guarantee click now,1
I'll be working remotely tomorrow.,0
click now buy winner credit urgent act now,1
I'll be working remotely tomorrow.,0
credit prize risk-free win,1
urgent now prize,1
act now now urgent prize,1
Can you call me when you’re free?,0
"Hey, are we still on for lunch today?",0
Let's catch up soon!,0
buy click claim money buy buy credit,1
now click offer buy click credit prize,1
Let's catch up soon!,0
Do you want to grab a coffee later?,0
Can you call me when you’re free?,0
Do you want to grab a coffee later?,0
Let's catch up soon!,0
winner urgent buy money,1
Just finished reading the article. Interesting stuff!,0
Just finished reading the article. Interesting stuff!,0
click win offer winner offer,1
Just finished reading the article. Interesting stuff!,0
risk-free act now money click call risk-free,1
money buy win money claim offer offer,1
Let's catch up soon!,0
money click act now now buy risk-free,1
"Hey, are we still on for lunch today?",0
Don't forget the meeting at 3PM.,0
That sounds like a great idea.,0
Can you call me when you’re free?,0
credit prize guarantee guarantee money,1
buy winner act now exclusive buy call urgent,1
"Hey, are we still on for lunch today?",0
Do you want to grab a coffee later?,0
That sounds like a great idea.,0
act now win risk-free risk-free act now,1
risk-free exclusive act now click winner,1
Just finished reading the article. Interesting stuff!,0
"Hey, are we still on for lunch today?",0
Let's catch up soon!,0
Can you send me the file when you're done?,0
offer guarantee win act now guarantee winner,1
offer click act now,1
Thanks for the update!,0
winner act now money,1
win credit guarantee,1
offer prize offer call,1
win risk-free win free call risk-free click,1
Thanks for the update!,0
Do you want to grab a coffee later?,0
Don't forget the meeting at 3PM.,0
exclusive guarantee free credit,1
offer prize risk-free now claim win urgent,1
Can you send me the file when you're done?,0
guarantee buy risk-free,1
click prize act now,1
now risk-free urgent win credit money,1
now now money exclusive,1
Just finished reading the article. Interesting stuff!,0
That sounds like a great idea.,0
Can you call me when you’re free?,0
Thanks for the update!,0
win urgent offer click claim click,1
Do you want to grab a coffee later?,0
claim winner now,1
act now free winner now,1
I'll be working remotely tomorrow.,0
That sounds like a great idea.,0
call money now win win urgent win,1
Can you call me when you’re free?,0
credit offer offer urgent,1
offer now exclusive win act now,1
urgent money winner money guarantee,1
That sounds like a great idea.,0
free click buy call claim risk-free,1
risk-free urgent risk-free now,1
I'll be working remotely tomorrow.,0
Can you call me when you’re free?,0
money free winner prize prize,1
guarantee free credit risk-free free claim free,1
I'll be working remotely tomorrow.,0
Just finished reading the article. Interesting stuff!,0
offer claim buy,1
"Hey, are we still on for lunch today?",0
credit now exclusive money buy,1
win now urgent credit act now call guarantee,1
call offer call risk-free guarantee claim risk-free,1
Can you call me when you’re free?,0
win win money win free exclusive now,1
buy buy money,1
That sounds like a great idea.,0
exclusive act now exclusive,1
That sounds like a great idea.,0
Don't forget the meeting at 3PM.,0
act now winner exclusive act now,1
Thanks for the update!,0
credit credit offer risk-free buy offer credit,1
claim call credit,1
act now buy free,1
Can you call me when you’re free?,0
